Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
152,https://www.civic-coding.de/community/projekt/ki-und-inklusion/1058,KI und Inklusion,https://www.civic-coding.de/community/projekt/ki-und-inklusion/1058,Civic Coding,Unbekannt,"Wir möchten vielfältige KI-Lösungen in unserem Inklusionsbetrieb testen (Gastronomie, Hotellerie, Eigenprodukte), evaluieren und auf uns zuschneiden, um Barrieren jeglicher Art herabzusetzen. Für Menschen mit Behinderungen und ohne. Und wir möchten diese Erfahrungen teilen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
153,https://www.civic-coding.de/community/projekt/112-ki-rettet-leben/1057,112 - KI rettet Leben,https://www.civic-coding.de/community/projekt/112-ki-rettet-leben/1057,Civic Coding,Unbekannt,"Durch den Einsatz von KI, sollen transkribierte Gespräche in Echtzeit mit den Ortsdaten abgeglichen und automatische Lokalisierung für Notrufe erfolgen, die nicht eindeutig identifizierbar sind und nur anhand von Umgebungsbeschreibung verortet werden müssen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
154,https://www.civic-coding.de/community/projekt/wirktsiegel-fur-impact-startups/1053,Wirktsiegel für Impact Startups,https://www.civic-coding.de/community/projekt/wirktsiegel-fur-impact-startups/1053,Civic Coding,Unbekannt,"Wir von PHINEO Startups wollen ein KI-unterstütztes Self-Assessment-Tool entwickeln, mit dem wir Startups / neugegründeten Unternehmen helfen, ihre gesellschaftliche Wirkung einzuschätzen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
155,https://www.civic-coding.de/community/projekt/intelligente-foerdermittelsuche-fur-npos/1046,Intelligente Fördermittelsuche für NPOs,https://www.civic-coding.de/community/projekt/intelligente-foerdermittelsuche-fur-npos/1046,Civic Coding,Unbekannt,"Die Suche nach geeigneten Fördermitteln ist für alle gemeinnützigen Organisationen mit einem hohen (personellen) Aufwand verbunden. Wir wollen KI nutzen, um die Suche nach geeigneten Fördermitteln effektiver, effizienter und einfacher zu gestalten.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
156,https://www.civic-coding.de/community/projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018,Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene,https://www.civic-coding.de/community/projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018,Civic Coding,Unbekannt,"Der hohe Fläming ist eine der trockensten Orte Deutschlands und wir planen eine regionale, KI-basierte Entscheidungshilfe, die es ermöglicht sinnvolle landschaftliche Maßnahmen zum Wasserrückhalt und zur Vermeidung von Waldbränden in ihren Wirkungen und Kosten einzuschätzen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
157,https://www.civic-coding.de/community/projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015,EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland.,https://www.civic-coding.de/community/projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015,Civic Coding,Unbekannt,"Ein KI-gestützter Chatbot, der internationale Fachkräfte bei der Einreise und Arbeitssuche in Deutschland unterstützt, indem er bei Visumsanträgen und behördlichen Prozessen hilft, um Integration und Berufseinstieg zu erleichtern.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
158,https://www.civic-coding.de/community/projekt/ki/1014,KI²,https://www.civic-coding.de/community/projekt/ki/1014,Civic Coding,Unbekannt,"Das Vorhaben zielt darauf ab, künstliche Intelligenz (KI) in der sozialen Arbeit einzusetzen, um Barrieren für Menschen mit Behinderungen und Menschen mit Migrationsgeschichte abzubauen und einen barrierefreien Zugang zur sozialen Gesellschaft zu fördern. Die Idee besteht darin,",CC-BY-NC-ND 4.0,https://www.civic-coding.de
159,https://www.civic-coding.de/community/projekt/equal-work-hub/1012,Human Work Hub,https://www.civic-coding.de/community/projekt/equal-work-hub/1012,Civic Coding,Unbekannt,KI-basiertes Interviewtool zur gezielten Bewerber- und Job Profil Erstellung und deren Matching. Für einen Werte- und kompetenzbasierten Bewerbungsprozess ohne Bias. Fokus auf zu integrierende Kandidaten (z.B. Migranten) besonders in die Umweltbranche.,CC-BY-NC-ND 4.0,https://www.civic-coding.de
160,https://www.civic-coding.de/community/projekt/ainsight/1011,AInsight,https://www.civic-coding.de/community/projekt/ainsight/1011,Civic Coding,Unbekannt,"Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Wir wollen ein Browser-Plugin für ChatGPT implementieren, das die nutzende Person über dessen CO2-Emissionen aufklärt und somit ein Bewusstsein für Ressourcenverbräuche von KI schafft.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
161,https://www.civic-coding.de/community/projekt/helpmeai/1010,helpme.ai,https://www.civic-coding.de/community/projekt/helpmeai/1010,Civic Coding,Unbekannt,"helpme.ai is an AI-powered chatbot, accessible through an app, designed to bridge the gap in healthcare access for socially disadvantaged communities. It simplifies the complexity of healthcare systems, providing immediate, personalized assistance.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
